Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
11,شوارع المدينة,أحمد فكرون,"شوارع المدينة - وجوه آه وجوه
وجوه بالفرحة تنعم وفيها وجوه حزينة

في ناس ضحكتها حلوة وعرقها ع الجبين
يرسم ف الجبهة نشوة تمسح تعب السنين
ويغني الحب غنوة مكتوبة للحنين
بحروفها ألوانها زينة - شوارع المدينة

في ناس باين أساها من غير قسوة دموع
والحزن اللي ملاها ضاقت بيه الضلوع
هبت حركة هواها ضوّت لهب الشموع
عن حبه وأنينه - شوارع المدينة

والحيطان الكثيرة مزروعة ع الدروب
لا هد شوق هواها لا الحيرة والهروب
مرسومة فوق عيونها كلمات حب وقلوب
تشهد عنا وعلينا- شوارع المدينة

شوارع المداين شوارع المدينة - وجوه آه وجوه
وجوه بالفرحة تنعم وفيها وجوه حزينة",مكتوبة كاملة,نبيل الجهمي,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/PDvu5
12,طاحن نجوم الليل ,أحمد فكرون,طاحن نجوم الليل وانت وينك قردك مرض ولا خداتك عين,مطلع الأغنية/رأس البيت فقط,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/4tC1h
13,عالبحر مرة شفتك,أحمد فكرون,"ع البحر مرة شفتك وتاه مني الكلام
قلت لنفسي وين شفتك ولقيتك في الأحلام
وأستنيت يما وأستنيت ع البحر أو رأجيت
أنا وخيالي وصورتك أنا وحنيني وسيرتك
وأنتي ما جيتي ثاني وأنا ما لقيت نسياني
وقلت ياليام حقيقة كنتي وألا أحلام
ع البحر مره شفتك",وجب التأكد من اكتمال الكلمات,أحمد فكرون ,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/qcMmK
14,جامع الفناء,أحمد فكرون,عجوز بقيثارة يروي في اشعاره - نغمة اوتاره الام و احزان,مطلع الأغنية/رأس البيت فقط,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/Hz7it
15,عيونك,أحمد فكرون,"عيونك عيونك
عيونك نظرة حزينة
تحكي عالحب و انينه",الكلمات غير مكتملة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/2FKfy
16,عوام,أحمد فكرون,"فالليلة والبدر يطل ويانوار ويقول سلام
وينثر عشقك ورد وفل ويرسل
حبك فالانسام وفي شعرك ليلا سبال
وفي فيومك كلمات غرام وفي عيونك
بحرين عسل نا قلبي في عشقك
عوام عوام والبحر نادالي
عوام ونتي في بالي
عوام دورت عليكي عوام قالو نلاقيكي
عوام في البحر العالي عوام بحور كاهاث
عوام بحورك بالطول لا نبغا مرسي ولأشط
وراضي باللي الناس تقول وطالب يغلبني
فالشوق غرامي ولما القلب ينول غرامك
نعبر بيه الليل ونرضي بعيونك مرسول عوام
بحورك عشقات وعالي موجك فوق لفوق
وراضي يا خذني تيار ونغرق وقت الموج يروق
وتعلا بيا الريح نريح لا طالب لا مركب لا طوق
مرادي في بحورك عوام وعقاب عمري راضي بالشوق ",مكتوبة كاملة,نبيل الجهمي,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/6ky9q
17,ترحال,أحمد فكرون,"في الترحال في الترحال
رحلة حرف في الكلمة
سفر للشوق بالنسمة
بلهفة الناي للموال
في الترحال في الترحال",الكلمات غير مكتملة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/eAsw2
18,عيون سالمة,أحمد فكرون,"في الليل - في نجوى الغريب وشوقه
في الحزن - في رعود الشتى وبروقه
تخطر عليا سالمه - ونشتاق صمت عيونها

في الحب - ف أنفاسه - ف نبض عروقه
في الياس - وأوصال الأمل محروقة
تصعب عليا سالمه - وتصعب دموع عيونها

عيون سالمه تذكار - على جبين غيمة عاشقه
عيون سالمه أشعار - ف خيال ليلة بارقة
عيون سالمه أسرار - ف أحضان نجمه مفارقه
عيون سالمه أقدار - ف احزان مركب غارقة

عيون سالمة تذكار - فكره وشمعه ساهرة محتاره
عيون سالمة أشعار - واحلام نخله شامخه جباره
عيون سالمة أسرار - وشباك معبد شاحبات أنواره
عيون سالمه أقدار - وعنقود موجه عاتية مغياره

سحر الوجود ومصدره ومصيره - عيون سالمه تحكيه
وبعد الفضا وحيرته وتحييره - عيون سالمه تخفيه
وحلم النسيم وصحوته وتكديره - عيون سالمه تواريه
وجلال البحر ورهبته وهديره - عيون سالمه تجاريه

في عيون سالمه يبني العز اسوار - عليها أبراج محصنه وعنيده
في عيون سالمه يرسم الظل أشجار - وتطلع سنابل واعدة وجديدة
في عيون سالمه تهاجر طيور وانهار - وتقصد شطوط ملونه وبعيده

يمتد المكان ويستوي - وعيون سالمه أبعاد
زيعلا الزمان وينحني - وعيون سالمه ميعاد
وينوّر الوعد ويرتوي - وعيون سالمه ميلاد
ويبدا الحب وينتهي - وحب سالمه يزداد",مكتوبة كاملة,الصيد الرقيعي,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/j6pZV
19,نسيان,أحمد فكرون,"فين ضاع الحنان و الحب اللي كان
نقولك يا حبيبي تقولي كان زمان
فين فرحة عيونك وين كنت نلاقيك 
فين حيرة ظنونك وين نغيب عليك
ونشوف في عيونك نظرات النسيان

من غير ما انت تقول حسيت بالنهاية
عني بالك مشغول و فكرك مش معايا
وين تقابلني تبقى مشغول عني
ونشوف في عيونك نظرات النسيان",مكتوبة كاملة,,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/cx2kz
20,سندباد,أحمد فكرون,"قلبي سندباد متغرب في عيونك
كنز الحلم بلاد متغطي بجفونك
خوذ يني يا بهجت عيني
دفيني يا شمس سنيني
قبل يأخذنا الميعاد من صغري
رحال في حضن المواني
خطواتي مزال أتدور عن زماني
وأشوفك يا صوت غنايا مرسومه
فالحلم حكايا من حكاوي شهرزاد
لك قلبي مشتاق يابحر الأغاني

ولمركب متزود بفراحي وحزاني
ونشوفك في ظل الشمعة طيف
إيجي ويغيب في دمعه واللهفة تحت الرماد .
",مكتوبة كاملة,فرج المذبل ,,بوب,AhmedFakroun.jpeg,غير معروف,جيد,https://on.soundcloud.com/zLk1p
