Entry ID,Entry Number,Entry Name,Entry Type,Entry Rhythm,Entry Lyrics,Note Image Name,Type Entry Image
MLF-13-ISB-BRW,13,صاحب الحضره,الإصبعين,برول,"صاحب الحضره :: والشّمعه ضاويها
صاحب الحضره :: سيدي علي عزّوز
عليك بالحضره :: إن كنت عاشق فيها
وأترك العذر :: وأعبد القيّوم
لازم الذكر وأعرف معانيها
من البلاء تبرى سرها معلوم
أجتهد وأقرأ تنجح ياساقيها
تأتيك النّصره :: من شيخك المعلوم
واصل الفقرا :: من بعيد تجيها
وأترك الهجر :: لاتؤخّر يوم",MLF-13-ISB-BRW.png,ISB.PNG
MLF-14-ISB-BRW,14,كان لي قلب,الإصبعين,برول,"كان لي قلب في جيران الحما ::  ضاع منّي علّه يرجع إليْ
أنا والله محب لكمو ::  صدقوني ليس بعد الله شيْ
قلت خذ روحي فقال الرّوح لي :: إن فضل في الكاس شيْ فهلولي
أسقينيها يانديم سرعة :: إن قلبي قد كوى بالنّار كيْ",MLF-14-ISB-BRW.png,ISB.PNG
MLF-15-ISB-BRW,15,قدم المساء,الإصبعين,برول,"قدم المسا يامرحبا بقدومه 
وهذا النهّار قد إنقضى في سبيله
بلّغ سلامي إلى البساتين كلها
وهذا الحبيب قد إختلى بحبيبه",MLF-15-ISB-BRW.png,ISB.PNG
MLF-16-ISB-BRW,16,قد مالت الثريا,الإصبعين,برول,"قد مالت الثّريا :: قم وأنتبه يا نايم
الشّمعة الضّاويه :: تشعل في فرح دايم
قم دير كاس الحميّا :: لازال قلبي هايم
الدّيك يعمل صناعة :: نبّهني بصياحه
نبّهني للخلاعة :: رمى العشيق سلاحه
ما الدّنيا إلّا ساعة :: قم نغنمو الأفراح
تبدّلت طباعك :: وأنا على العهد باقي
ليش العمل متاعك :: يعوّل على فراقي
طالما أنا في إتّباعك :: لساني تحت ساقي
أنت تجور يا حبيبي :: وأنا نذوب فارفق
كثير يزداد تعبي :: كثير نهيم ونعشق
زرني يا أنس قلبي :: دع الرّقيب يشنق",MLF-16-ISB-BRW.png,ISB.PNG
MLF-17-ISB-BRW,17,لقاء الحبيب,الإصبعين,برول,"لقاء الحبيب جنّه :: تنعش القلوب
نال قلبي ما تمنّى :: نزهة المطلوب
في القلب له رنّة :: ودمعتي تفور
العشق قتلنا :: والقلب يذوب
بالعشق أعلّنا :: قد جرى المكتوب
مدة ونستنا :: نرتجي المحبوب
ياليته واصلنا :: تنجلي الكروب
والغرام ذبلنا :: والقلب معطوب",MLF-17-ISB-BRW.png,ISB.PNG
MLF-18-ISB-BRW,18,يامصطفى ياممجّد,الإصبعين,برول,"يامصطفى يا ممجّد :: إرافق بعبد أتاك
حبّك في قلبي مجدّد :: وراحتي في لقاك
ولا سكن يا محمّد :: وسط القلب سواك 
عروس يوم القيامه :: مفتاح يوم الفلاح
من ظللته الغمامة :: تقيه حرّ الضّواح
محمّد ذو الكرامة :: والمعجزات الصّحاح",MLF-18-ISB-BRW.png,ISB.PNG
MLF-19-ISB-BRW,19,ياهل ترى,الإصبعين,برول,"ياهل ترى متى أراهم :: أحباب قلبي أطلب رضاهم
إن هجروني أو واصلوني :: أصبر عليهم حتى أراهم
كيف العمل يا أهل المحبة :: داوا فؤادي قد زاد حبّا
وأصبو لصبّ قد ضاع عمره :: جودوا عليه ولو بنظره
قد صار في حبّكم عشيقا :: يرجو الوصال علّه يذوقو
يامن هويتو ولا هواني :: قلبي كويتو أرجو الأمان
يامن سباني ولا دواني :: داوي فؤادي من الأحزان
آه يا غزالي ويا آمالي :: بلّغ سؤالي عشقي ضناني",MLF-19-ISB-BRW.png,ISB.PNG
MLF-20-ISB-ELJ,20,جعلني غرامي,الإصبعين,علّاجي,"جعلني غرامي في عشقك مثل :: وزادني هيام وكيف العمل
وكان لي مانس وعنّي رحل
يحب السّمر ونقر الوتر :: وشرب المدام في ضي القمر 
هجرني حبيبي ولا ذنب لي :: وزاد بي لهيبي ولا رقّ لي
ناديت يا طبيبي بالله رقّ لي
غزالي هجر وعنّي نفر :: وخلّف لعيني البكا والسّهر
بكيت لخلّي بكاءً شديد :: تلفّت وقاللي بكاك لا يفيد
سرّك لا تبوح به لمن لا تريد
يشيع الخبر وتدري البشر :: تصبّر لحكم القضا والقدر
ناديت يامغدّى يازين الملاح :: دمعي تبّدى من عيني وباح 
وما كنت ألقى له من براح
نهاري فكر وليلي سهر :: رثى لي حبيبي لمّا لي نظر
قال الظبي الأهيف يا هذا الكئيب :: أراك صب مدنف عسى أن تطيب
ترشّف ريق قرقف إن كان لك نصيب
وتجني الثّمر وورد الخفر :: وتحمد إله علا وأقتدر",MLF-20-ISB-ELJ.png,ISB.PNG
MLF-21-ISB-ELJ,21,كل وقت من حبيبي,الإصبعين,علّاجي,"كلّ وقت من حبيبي :: قدره ألفين حجّة
فاز من خلّا الشّواغل :: ولمحبوبو ترجّى 
كنت قبل اليوم ساير :: في ديوان الكون داير
في بحور الحبّ ملقى :: بين أمواج الخواطر
نرتجي في الوصل منه :: كم سقاني من مراير
قد جعلتو من نصيبي :: قال لي المحبوب أرْجَ
فاز من خلّا الشّواغل :: ولمحبوبو ترجّى",MLF-21-ISB-ELJ.png,ISB.PNG
MLF-22-ISB-ELJ,22,على العقيق اجتمعنا,الإصبعين,علّاجي,"على العقيق إجتمعنا نحن وسود العيون
وظنّ مجنون ليلى قد جنّ بعض الجنون
لا زلت حول المطايا أقول بالله إحملوني
عن سادتي خلّفوني أبكى دمًا عن عيوني
فيا عيوني عيوني ويا جفوني جفوني :: وياقلبي تصبّر علي الذين فارقوني
فارقتهم عصر الاثنين صبح الثّلاث أوحشوني 
بالله إن متّ شوقًا بأدمعي غسّلوني
نوحوا عليّ وقولوا مسكين قتيل العيون
روح يارسولي اليهم وقبّل يديهم :: واقرأ سلامي عليهم لعلهم يرحموني
جاني رسولي ويضحك وقال أبشر بصلحك
وحقّ عيشك وملحك هم بالوصال أوعدوني
أسأل الهِ كريما عسى المولى يجود
يغفر كل الخطايا هو الغفور الودود :: كافؤ بجنة عدن يكون بيها الخلود",MLF-22-ISB-ELJ.png,ISB.PNG
